n_procs,time_nonblocking,time_blocking
2,0.000002,0.000002
3,0.000006,0.000008
4,0.000008,0.000009
5,0.000009,0.000011
6,0.000010,0.000013
7,0.000012,0.000015
8,0.000011,0.000017
9,0.000013,0.000020
10,0.000013,0.000022
11,0.000018,0.000024
12,0.000017,0.000027
13,0.000018,0.000028
14,0.000019,0.000030
15,0.000021,0.000032
16,0.000019,0.000033
17,0.000023,0.000036
18,0.000023,0.000045
19,0.000025,0.000041
20,0.000025,0.000042
21,0.000027,0.000045
22,0.000026,0.000046
23,0.000029,0.000049
24,0.000030,0.000051
25,0.000044,0.000080
26,0.000054,0.000086
27,0.000064,0.000087
28,0.000051,0.000089
29,0.000052,0.000094
30,0.000046,0.000096
31,0.000054,0.000099
32,0.000088,0.000101
33,0.000091,0.000105
34,0.000110,0.000109
35,0.000075,0.000112
36,0.000059,0.000115
37,0.000095,0.000118
38,0.000071,0.000121
39,0.000087,0.000124
40,0.000059,0.000129
41,0.000076,0.000131
42,0.000087,0.000133
43,0.000062,0.000138
44,0.000071,0.000139
45,0.000072,0.000145
46,0.000071,0.000146
47,0.000082,0.000149
48,0.000104,0.000153
