X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,5.16,0,5.2873,0
1,1000,5.23,0.19,5.2876,0.1891
2,1000,5.23,0.38,5.2878,0.3782
4,1000,5.23,0.77,5.2882,0.7564
8,1000,5.21,1.54,5.2891,1.5125
16,1000,5.22,3.07,5.2909,3.024
32,1000,5.22,6.13,5.2945,6.044
64,1000,5.23,12.23,5.3017,12.0716
128,1000,5.27,24.29,5.3161,24.0779
256,1000,5.31,48.19,5.3449,47.8964
512,1000,5.35,95.71,5.4027,94.7679
1024,1000,5.95,172.16,5.5191,185.5372
2048,1000,5.83,351,5.7552,355.8528
4096,1000,6.71,610.24,6.2403,656.3787
8192,1000,7.18,1141.21,7.2649,1127.6191
16384,1000,9.33,1756.79,9.5448,1716.5281
32768,1000,15.03,2179.99,15.0063,2183.6146
65536,640,29.24,2241.65,29.2417,2241.1798
131072,320,43.44,3017.44,55.9094,2344.3643
262144,160,61.52,4261.08,81.6324,3211.2728
524288,80,94.47,5549.92,94.4451,5551.2454
1048576,40,160.95,6514.86,154.3426,6793.8209
2097152,20,304.84,6879.55,290.912,7208.8883
4194304,10,580.03,7231.15,580.0532,7230.8948
