# mpirun -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -env I_MPI_FABRICS shm -genv I_MPI_OFI_PROVIDER shm  ./IMB-MPI1_intel PingPong -msglog 28
X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.46,0,0.5487,0
1,1000,0.46,2.16,0.5489,1.8217
2,1000,0.46,4.31,0.5492,3.6419
4,1000,0.46,8.63,0.5496,7.2776
8,1000,0.46,17.29,0.5506,14.5306
16,1000,0.47,34.24,0.5524,28.9635
32,1000,0.5,64.52,0.5561,57.5404
64,1000,0.49,130.16,0.5636,113.5655
128,1000,0.58,219.03,0.5784,221.3093
256,1000,0.63,407.28,0.608,421.0812
512,1000,0.96,533.37,0.6669,767.774
1024,1000,0.99,1031.13,0.7836,1306.7391
2048,1000,1.14,1799.35,1.013,2021.7429
4096,1000,1.68,2441.64,1.455,2815.1407
8192,1000,2.05,3994.73,2.2726,3604.6657
16384,1000,3.64,4501.81,3.6756,4457.5138
32768,1000,5.34,6136.05,5.812,5637.9874
65536,640,9.24,7095.74,9.2373,7094.6917
131072,320,15.25,8596.54,16.7668,7817.351
262144,160,28.49,9201.35,31.1511,8415.2425
524288,80,66.8,7848.31,66.7954,7849.1595
1048576,40,133.14,7875.89,150.7711,6954.7569
2097152,20,257.08,8157.59,284.4454,7372.776
4194304,10,510.47,8216.56,510.4531,8216.8254
8388608,5,1068.19,7853.11,1056.4656,7940.257
16777216,2,2353.5,7128.62,2546.9372,6587.2123
33554432,1,7858.55,4269.8,7857.4137,4270.4169
67108864,1,15737.47,4264.27,20745.3984,3234.8795
134217728,1,31686.76,4235.77,38299.903,3504.3882
268435456,1,62963.38,4263.36,62964.2239,4263.3013
