# mpirun -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -env I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp  ./IMB-MPI1_intel PingPong -msglog 28
X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.66,0,0.762,0
1,1000,0.66,1.51,0.7622,1.3119
2,1000,0.68,2.95,0.7625,2.6231
4,1000,0.67,5.96,0.7629,5.2432
8,1000,0.66,12.11,0.7638,10.4745
16,1000,0.65,24.61,0.7655,20.9015
32,1000,0.7,45.48,0.769,41.6145
64,1000,0.72,89.44,0.7759,82.4851
128,1000,0.75,170.87,0.7898,162.0764
256,1000,0.68,375.48,0.8174,313.1913
512,1000,1.19,429.56,0.8724,586.8608
1024,1000,1.28,801.59,0.9816,1043.2025
2048,1000,1.39,1478.49,1.1961,1712.3022
4096,1000,1.89,2165.89,1.6096,2544.655
8192,1000,2.33,3522.62,2.3778,3445.1492
16384,1000,3.5,4685.07,3.7186,4405.9801
32768,1000,5.42,6041.43,5.8535,5598.0535
65536,640,9.53,6875.18,9.5292,6877.407
131072,320,15.31,8559.69,17.4262,7521.5445
262144,160,28.04,9350.28,31.7645,8252.735
524288,80,68.04,7705.03,68.0336,7706.3069
1048576,40,133.15,7875.08,156.8085,6686.9863
2097152,20,257.42,8146.9,291.7598,7187.94
4194304,10,509.96,8224.78,509.9485,8224.9557
8388608,5,1063.68,7886.38,1062.8381,7892.6486
16777216,2,2360.43,7107.7,2563.2919,6545.1835
33554432,1,7930.52,4231.05,7929.3978,4231.6495
67108864,1,15746.72,4261.77,20943.6543,3204.2576
134217728,1,31579.66,4250.13,38472.8103,3488.6385
268435456,1,62938.53,4265.04,62939.2038,4264.9961
