# mpirun -np 2 -mca pml ob1 --mca btl self,tcp  --map-by core --report-bindings ./IMB-MPI1 PingPong -off_cache -1 -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.59,0.00
1,1000,5.68,0.18
2,1000,5.68,0.35
4,1000,5.67,0.71
8,1000,5.68,1.41
16,1000,5.67,2.82
32,1000,5.68,5.63
64,1000,5.70,11.23
128,1000,5.76,22.23
256,1000,5.81,44.07
512,1000,5.85,87.47
1024,1000,6.44,159.03
2048,1000,6.35,322.33
4096,1000,7.66,534.92
8192,1000,8.82,928.39
16384,1000,12.60,1300.26
32768,1000,21.46,1527.29
65536,640,40.52,1617.28
131072,320,56.98,2300.35
262144,160,86.19,3041.42
524288,80,135.04,3882.33
1048576,40,231.77,4524.15
2097152,20,422.08,4968.58
4194304,10,803.01,5223.23
8388608,5,1581.94,5302.72
16777216,2,3186.54,5265.03
33554432,1,6507.75,5156.07
67108864,1,12981.58,5169.55
134217728,1,25862.20,5189.73
268435456,1,51339.35,5228.65
