# mpirun -np 2 -mca pml ob1 --mca btl self,vader  --map-by socket --report-bindings ./IMB-MPI1 PingPong -msglog 28
X.bytes,X.repetitions,t.usec.,Mbytes.sec,t.usec.comp.,Mbytes.sec.comp.
0,1000,0.56,0,0.8621,0
1,1000,0.61,1.65,0.8624,1.1596
2,1000,0.6,3.34,0.8627,2.3184
4,1000,0.6,6.64,0.8633,4.6335
8,1000,0.59,13.52,0.8645,9.2541
16,1000,0.64,25.06,0.8669,18.4569
32,1000,0.75,42.89,0.8717,36.7105
64,1000,0.88,72.88,0.8813,72.6217
128,1000,0.99,128.66,0.9004,142.1541
256,1000,1.1,233.74,0.9386,272.7583
512,1000,1.3,394.11,1.0142,504.8138
1024,1000,1.47,698.05,1.1632,880.3049
2048,1000,1.92,1064.91,1.4515,1410.9599
4096,1000,2.61,1569.01,1.9894,2058.8963
8192,1000,3.25,2518.75,2.9184,2806.9904
16384,1000,3.51,4672.27,4.2938,3815.726
32768,1000,4.66,7033.82,5.66,5789.3984
65536,640,6.48,10106.36,6.4808,10112.2685
131072,320,10.39,12619.03,9.8956,13245.541
262144,160,17.88,14659.53,17.7952,14731.1519
524288,80,37.96,13813,37.9569,13812.7188
1048576,40,102.11,10269,90.1542,11630.9194
2097152,20,244.7,8570.4,221.472,9469.1502
4194304,10,509.04,8239.7,509.0843,8238.919
8388608,5,1310.68,6400.17,1526.3201,5495.9689
16777216,2,4356.09,3851.44,4108.7665,4083.2732
33554432,1,10903.22,3077.48,10905.8509,3076.7367
67108864,1,21975.72,3053.77,24274.7181,2764.5579
134217728,1,43317.28,3098.48,46485.7147,2887.2898
268435456,1,83606.82,3210.69,83606.2727,3210.7095
