X.bytes,X.repetitions,t.usec.,Mbytes.sec,Mbytes.sec.comp.,t.usec.comp.
0,1000,7.88,0,173.0229,8.0963
1,1000,7.9,0.13,173.036,8.0967
2,1000,7.9,0.25,173.0491,8.0971
4,1000,7.92,0.51,173.0752,8.0979
8,1000,7.91,1.01,173.1275,8.0996
16,1000,7.9,2.03,173.232,8.1029
32,1000,7.87,4.06,173.4411,8.1096
64,1000,7.91,8.09,173.8594,8.1229
128,1000,8.29,15.44,174.6953,8.1496
256,1000,8.25,31.02,176.3673,8.2031
512,1000,8.34,61.38,179.7104,8.3105
1024,1000,9.49,107.85,186.3892,8.5266
2048,1000,8.92,229.5,199.7155,8.9647
4096,1000,10.87,376.96,226.2669,9.8639
8192,1000,11.56,708.87,278.9484,11.7596
16384,1000,15.55,1053.72,382.5681,15.9978
32768,1000,26.05,1257.87,582.8825,26.4903
65536,640,56.94,1151.04,956.2869,56.9408
131072,320,82.34,1591.81,1597.9983,117.9435
262144,160,123.83,2116.91,2623.8754,173.9854
524288,80,197.26,2657.83,4013.1569,197.2295
1048576,40,330.35,3174.14,4777.2281,329.9478
2097152,20,629.49,3331.5,3330.5891,618.4872
4194304,10,1242.13,3376.72,2414.0232,1242.1735
